qubits,mean_IGSL_time,std_IGSL_time,mean_OIS_time,std_OIS_time,n
2,0.014338597916666668,0.017198979393930263,0.2742383302083333,0.020109581840035286,96
3,0.00556334375,0.003202770907749752,0.2788125544642857,0.009879038845275702,112
4,0.015065605952380953,0.028210176755802445,0.28180120476190473,0.024620422814648685,168
5,0.013369851041666667,0.01128349363566551,0.2763577302083333,0.031210087746533846,96
6,0.030631956249999998,0.02285422683535576,0.258427528125,0.020842907636183426,32
7,0.05360189166666667,0.03611061635596592,0.2815671708333333,0.06731871013086202,24
8,0.06108384375,0.05790759886094363,0.302764978125,0.10354323333497518,32
9,0.02076555,0.011137375389022318,0.28281120625,0.0497080764148774,16
10,0.036435671875,0.021454556556264628,0.374407871875,0.190765081382772,32
11,0.039016665625,0.02147535301392392,0.657500771875,0.4128084259179977,32
12,0.04829895625,0.014981104863570365,0.2948295875,0.052776757195086996,16
13,0.0147862625,0.010367747305233026,0.59221048125,0.7199802842714774,16
14,0.0153122875,0.004888932156463209,0.26953480625,0.019333900402814724,16
