anomaly,mean_SIS,mean_IGSL,mean_OIS,count
gate_deletion_1q,0.9872891842105264,0.5133191052631579,0.59813575,76
gate_deletion_2q,0.9833639599999999,0.62747138,0.53209558,50
gate_insertion,0.9838657162162161,0.7266341486486486,0.43919251351351346,74
gate_substitution,1.0,0.9899712209302325,0.6378834418604651,86
gate_reorder,0.9995450465116279,0.45416136046511624,0.1273891395348837,86
trojan_NOT,0.9845673827160495,0.5307154320987654,0.3247356913580247,81
trojan_H,0.9845673827160495,0.5305332839506173,0.4674609012345679,81
qubit_swap,0.9826756527777777,0.9123713611111111,0.5612889722222222,72
