anomaly,pearson_r
missing_1q,0.2194820277956729
missing_2q,0.37741537143143505
swap,0.09296691255682729
reorder,0.07258577157488319
mild_combo,0.05710762946324868
moderate_combo,0.06241530365746854
severe_combo,0.20929464312279833
